longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-121.9,37.66,18.0,7397.0,1137.0,3126.0,1115.0,6.4994,323000.0,INLAND
-121.88,37.67,16.0,4070.0,624.0,1543.0,577.0,6.5214,311500.0,INLAND
-121.87,37.67,10.0,4337.0,800.0,1813.0,743.0,5.5,247200.0,INLAND
-121.85,37.68,4.0,4719.0,741.0,1895.0,742.0,6.8132,282500.0,INLAND
-121.85,37.66,14.0,4236.0,701.0,1833.0,663.0,5.6399,300600.0,INLAND
-121.84,37.66,13.0,13182.0,2074.0,4847.0,1950.0,5.6417,352900.0,INLAND
-121.86,37.7,13.0,9621.0,1344.0,4389.0,1391.0,6.6827,313700.0,INLAND
-121.77,37.65,16.0,4290.0,554.0,1952.0,576.0,7.3588,327500.0,INLAND
-121.73,37.71,12.0,5608.0,1049.0,2595.0,1067.0,3.9864,200200.0,INLAND
-121.75,37.71,11.0,12070.0,2220.0,5826.0,2125.0,4.8624,192400.0,INLAND
-121.8,37.7,22.0,5533.0,943.0,2474.0,910.0,4.7361,216800.0,INLAND
-121.79,37.69,25.0,6296.0,1082.0,3200.0,1047.0,4.5357,188400.0,INLAND
-121.73,37.68,17.0,20354.0,3493.0,8768.0,3293.0,5.4496,238900.0,INLAND
-121.77,37.67,20.0,8068.0,1217.0,3489.0,1259.0,5.7907,264200.0,INLAND
-121.79,37.66,22.0,14701.0,2210.0,6693.0,2232.0,5.98,245000.0,INLAND
-120.25,38.55,15.0,4403.0,891.0,1103.0,433.0,3.0125,111700.0,INLAND
-120.72,38.42,17.0,5654.0,1085.0,2237.0,953.0,3.0465,144100.0,INLAND
-120.77,38.38,15.0,4221.0,816.0,1737.0,743.0,2.3125,128600.0,INLAND
-121.83,39.76,12.0,9831.0,1921.0,4644.0,1775.0,3.1142,112600.0,INLAND
-121.82,39.76,23.0,6010.0,1116.0,2710.0,1149.0,3.0068,107300.0,INLAND
-121.86,39.78,12.0,7653.0,1578.0,3628.0,1494.0,3.0905,117800.0,INLAND
-121.85,39.77,17.0,5273.0,1177.0,2446.0,1199.0,1.9362,89900.0,INLAND
-121.86,39.76,19.0,7254.0,1785.0,4030.0,1667.0,2.0094,87300.0,INLAND
-121.89,39.76,15.0,10265.0,1860.0,4591.0,1906.0,3.07,142600.0,INLAND
-121.88,39.74,12.0,14631.0,3298.0,7517.0,3262.0,1.6785,153100.0,INLAND
-121.84,39.75,29.0,4362.0,1053.0,2053.0,1000.0,1.7284,74500.0,INLAND
-121.82,39.75,29.0,7744.0,1375.0,3316.0,1365.0,3.0253,111400.0,INLAND
-121.8,39.75,11.0,7212.0,1355.0,3264.0,1264.0,3.1125,122600.0,INLAND
-121.79,39.73,8.0,5690.0,1189.0,2887.0,1077.0,3.0625,116300.0,INLAND
-121.85,39.72,18.0,7272.0,1559.0,5022.0,1524.0,1.6911,98800.0,INLAND
-121.81,39.7,21.0,5051.0,1054.0,2948.0,980.0,1.5863,81300.0,INLAND
-121.87,39.82,11.0,5103.0,825.0,2456.0,810.0,4.5032,159700.0,INLAND
-121.58,39.83,16.0,4591.0,904.0,1904.0,812.0,2.2419,93200.0,INLAND
-121.46,39.54,14.0,5549.0,1000.0,1822.0,919.0,2.9562,142300.0,INLAND
-120.46,38.15,16.0,4221.0,781.0,1516.0,697.0,2.3816,116000.0,INLAND
-120.67,37.97,9.0,7450.0,1475.0,2233.0,930.0,2.6528,133000.0,INLAND
-120.76,38.12,7.0,7188.0,1288.0,3175.0,1115.0,3.8488,130600.0,INLAND
-120.57,38.2,13.0,4110.0,847.0,1796.0,706.0,2.6417,122300.0,INLAND
-120.36,38.21,10.0,4300.0,845.0,1480.0,609.0,2.8208,139900.0,INLAND
-120.34,38.25,17.0,5497.0,1056.0,997.0,408.0,2.9821,111500.0,INLAND
-120.37,38.23,13.0,4401.0,829.0,924.0,383.0,2.6942,123500.0,INLAND
-120.37,38.25,13.0,4495.0,856.0,1149.0,459.0,2.5352,113700.0,INLAND
-121.99,39.15,17.0,6440.0,1204.0,3266.0,1142.0,2.7137,72000.0,INLAND
-122.09,39.13,28.0,4169.0,895.0,2587.0,810.0,2.331,65500.0,INLAND
-121.73,38.0,3.0,9217.0,1522.0,3578.0,1272.0,5.0016,189100.0,INLAND
-121.72,38.0,7.0,7957.0,1314.0,4460.0,1293.0,4.9618,156500.0,INLAND
-121.72,37.98,5.0,7105.0,1143.0,3523.0,1088.0,5.0468,168800.0,INLAND
-121.74,37.95,5.0,4980.0,774.0,2399.0,763.0,5.7104,186300.0,INLAND
-121.6,37.9,5.0,14684.0,2252.0,4276.0,1722.0,6.9051,340900.0,INLAND
-121.79,38.01,17.0,4032.0,814.0,1749.0,618.0,3.1728,146800.0,INLAND
-121.83,38.0,15.0,6365.0,1646.0,3838.0,1458.0,2.5495,103600.0,INLAND
-121.84,37.99,13.0,4545.0,952.0,2188.0,901.0,3.3625,126100.0,INLAND
-121.79,37.99,10.0,4156.0,609.0,1878.0,586.0,5.6506,178600.0,INLAND
-121.77,37.99,4.0,5623.0,780.0,2429.0,716.0,5.4409,205100.0,INLAND
-121.88,38.01,9.0,5329.0,1284.0,2827.0,1202.0,2.7374,150000.0,INLAND
-121.89,38.01,30.0,4114.0,743.0,1994.0,722.0,4.2227,134400.0,INLAND
-121.86,38.0,4.0,4075.0,927.0,2239.0,849.0,3.5857,165200.0,INLAND
-121.95,38.03,5.0,5526.0,280.0,3207.0,1012.0,4.0767,143100.0,INLAND
-121.94,38.02,29.0,5765.0,1170.0,3266.0,1131.0,2.7907,113900.0,INLAND
-122.0,37.99,28.0,4035.0,641.0,1881.0,659.0,5.4607,192300.0,INLAND
-122.0,37.96,28.0,4071.0,713.0,2033.0,647.0,4.5833,190700.0,INLAND
-121.97,37.95,8.0,4253.0,709.0,1883.0,662.0,5.431,246700.0,INLAND
-121.98,37.96,12.0,5048.0,1122.0,2209.0,1014.0,3.1573,126700.0,INLAND
-121.98,37.95,14.0,6290.0,854.0,2724.0,820.0,6.7371,267400.0,INLAND
-121.96,37.84,29.0,7479.0,977.0,2744.0,943.0,7.5139,398200.0,INLAND
-121.84,37.98,8.0,7505.0,1089.0,3325.0,1016.0,5.2699,204200.0,INLAND
-121.78,37.97,4.0,17032.0,2546.0,7653.0,2359.0,5.5601,213700.0,INLAND
-121.89,37.82,4.0,11444.0,1355.0,3898.0,1257.0,13.2949,500001.0,INLAND
-121.82,37.81,12.0,4711.0,659.0,2089.0,621.0,8.3209,485400.0,INLAND
-121.96,37.95,25.0,4026.0,791.0,1850.0,709.0,4.1483,181200.0,INLAND
-121.92,37.96,14.0,5332.0,884.0,2093.0,839.0,5.2798,237400.0,INLAND
-120.0,38.93,17.0,8005.0,1382.0,999.0,383.0,3.9722,313400.0,INLAND
-120.97,38.91,7.0,4341.0,716.0,1978.0,682.0,4.8311,172200.0,INLAND
-121.09,38.68,15.0,5218.0,711.0,1949.0,659.0,4.7083,213300.0,INLAND
-121.06,38.7,9.0,13255.0,1739.0,5001.0,1627.0,6.314,228900.0,INLAND
-121.01,38.73,7.0,6322.0,1046.0,2957.0,1024.0,4.7276,197500.0,INLAND
